Date,Time,Site,Rep,FQ_ID,FQ_PH,FQ_chl,FQ_ratio,CF_PH,CF_chl,CF_ratio,temperature_C,DO_pct,turbidity,chl_RFU,maramataka,weather_description,water_description,Notes 
,12:27,Hamurana (bridge),1,,42.86,5.32,8.05,515.79,2598.4,8.05,23,138.6,2.07,1.61,,,"Murky, high wave action with wind ",
,,,2,,20.17,4.44,4.54,473.95,2100.3,4.54,,,,,,,,
,,,3,,0.1,4.83,0.02,427.91,3043.3,0.02,,,,,,,,
,12:44,Hamurana (West),1,,0.1,4.34,0.02,808.36,2257.3,0.35,24.2,118,6.5,1.3,,,"Murky, high wave action with wind ",
,,,2,,0.1,4.88,0.02,662.11,2859.2,0.23,,,,,,,,
,,,3,,0.76,4.19,0.41,547.36,2295.7,0.23,,,,,,,,
,13:06,Awahou (Tarimano),1,,0.1,0.11,0.11,89.95,2295.7,0.24,15.7,97.8,1.04,0.13,,,"Clear, slight wave action ",
,,,2,,22.47,0.75,0.13,56.3,371.6,0.2,,,,,,,,
,,,3,,34.26,0.55,15.45,113.99,274.76,0.4,,,,,,,,
,13:31,Ngongotaha ,1,,0.1,3.65,0.02,133.26,960.34,0.13,24.7,116.4,1.43,0.58,,,"Murky, slight wave action ",
,,,2,,33.47,2.96,11.3,217.06,1691.3,0.12,,,,,,,,
,,,3,,34.26,1.59,21.54,225.28,1196.7,0.18,,,,,,,,
,13:56,Te Koutu ,1,,46.78,2.47,18.93,57.69,432.68,0.13,25.3,129.2,1.43,0.58,,,"Murky, moderate wave action ",
,,,2,,20.95,0.85,24.95,166.22,566.68,0.29,,,,,,,,
,,,3,,28,0.85,32.94,26.11,431.75,0.06,,,,,,,,
,10:23,Lake Front ,1,,0.1,1.34,0.07,63.9,641.13,0.0997,22.2,96.5,0.78,0.19,,,"Murky, high wave action, lake weed build up on shore ",
,,,2,,0.1,1.39,0.07,92.02,839.12,0.1097,,,,,,,,
,,,3,,0.1,2.47,0.04,143.56,811.19,0.177,,,,,,,,
,,,,,,,,,,,,,,,,,,
