"Site","week","mean_pred","sd_pred","warnings","prob"
"Hamurana",1,0.00389459046385867,3.76908604224291,"Green",1
"Holdens Bay",1,0.00592845751384366,25.9243288142386,"Green",0.91
"Holdens Bay",1,0.00592845751384366,25.9243288142386,"Orange",0.081
"Holdens Bay",1,0.00592845751384366,25.9243288142386,"Red",0.009
"Ngongotaha",1,0.00659976706654565,41.8628135894519,"Green",0.86
"Ngongotaha",1,0.00659976706654565,41.8628135894519,"Orange",0.113
"Ngongotaha",1,0.00659976706654565,41.8628135894519,"Red",0.027
"Ohau Channel",1,0.0089406983120422,17.2506235220167,"Green",0.923
"Ohau Channel",1,0.0089406983120422,17.2506235220167,"Orange",0.073
"Ohau Channel",1,0.0089406983120422,17.2506235220167,"Red",0.004
"Hamurana",2,0.0116255541721792,51.9718448347061,"Green",0.816
"Hamurana",2,0.0116255541721792,51.9718448347061,"Orange",0.142
"Hamurana",2,0.0116255541721792,51.9718448347061,"Red",0.042
"Holdens Bay",2,0.0310373912233872,63.3868007603945,"Green",0.737
"Holdens Bay",2,0.0310373912233872,63.3868007603945,"Orange",0.19
"Holdens Bay",2,0.0310373912233872,63.3868007603945,"Red",0.073
"Ngongotaha",2,0.00564782735419468,48.4586944867988,"Green",0.872
"Ngongotaha",2,0.00564782735419468,48.4586944867988,"Orange",0.101
"Ngongotaha",2,0.00564782735419468,48.4586944867988,"Red",0.027
"Ohau Channel",2,0.0417151120907915,11.0799760627315,"Green",0.862
"Ohau Channel",2,0.0417151120907915,11.0799760627315,"Orange",0.126
"Ohau Channel",2,0.0417151120907915,11.0799760627315,"Red",0.012
"Hamurana",3,0.0201705499897931,15.011408644987,"Green",0.891
"Hamurana",3,0.0201705499897931,15.011408644987,"Orange",0.1
"Hamurana",3,0.0201705499897931,15.011408644987,"Red",0.009
"Holdens Bay",3,0.0370010504033456,17.8124497660254,"Green",0.815
"Holdens Bay",3,0.0370010504033456,17.8124497660254,"Orange",0.154
"Holdens Bay",3,0.0370010504033456,17.8124497660254,"Red",0.031
"Ngongotaha",3,0.0233016760951315,13.0737408802599,"Green",0.866
"Ngongotaha",3,0.0233016760951315,13.0737408802599,"Orange",0.123
"Ngongotaha",3,0.0233016760951315,13.0737408802599,"Red",0.011
"Ohau Channel",3,0.0278548204456306,14.6690217597756,"Green",0.847
"Ohau Channel",3,0.0278548204456306,14.6690217597756,"Orange",0.14
"Ohau Channel",3,0.0278548204456306,14.6690217597756,"Red",0.013
"Hamurana",4,0.00538118574744628,30.7124206751321,"Green",0.915
"Hamurana",4,0.00538118574744628,30.7124206751321,"Orange",0.075
"Hamurana",4,0.00538118574744628,30.7124206751321,"Red",0.01
"Holdens Bay",4,0.0255648053989095,31.98782381936,"Green",0.808
"Holdens Bay",4,0.0255648053989095,31.98782381936,"Orange",0.146
"Holdens Bay",4,0.0255648053989095,31.98782381936,"Red",0.046
"Ngongotaha",4,0.0211517694944405,20.0623763242327,"Green",0.847
"Ngongotaha",4,0.0211517694944405,20.0623763242327,"Orange",0.125
"Ngongotaha",4,0.0211517694944405,20.0623763242327,"Red",0.028
"Ohau Channel",4,0.0153569472386172,10.5641707056037,"Green",0.935
"Ohau Channel",4,0.0153569472386172,10.5641707056037,"Orange",0.062
"Ohau Channel",4,0.0153569472386172,10.5641707056037,"Red",0.003
"Hamurana",5,0.00413085688183603,27.4699891791576,"Green",0.932
"Hamurana",5,0.00413085688183603,27.4699891791576,"Orange",0.058
"Hamurana",5,0.00413085688183603,27.4699891791576,"Red",0.01
"Holdens Bay",5,0.0264728568479044,13.0531167269426,"Green",0.866
"Holdens Bay",5,0.0264728568479044,13.0531167269426,"Orange",0.127
"Holdens Bay",5,0.0264728568479044,13.0531167269426,"Red",0.007
"Ngongotaha",5,0.0121111724154724,13.5768622022911,"Green",0.925
"Ngongotaha",5,0.0121111724154724,13.5768622022911,"Orange",0.072
"Ngongotaha",5,0.0121111724154724,13.5768622022911,"Red",0.003
"Ohau Channel",5,0.0211330712027159,20.4212888512046,"Green",0.832
"Ohau Channel",5,0.0211330712027159,20.4212888512046,"Orange",0.146
"Ohau Channel",5,0.0211330712027159,20.4212888512046,"Red",0.022
"Hamurana",6,0.00721150274978561,11.5869671374892,"Green",0.959
"Hamurana",6,0.00721150274978561,11.5869671374892,"Orange",0.039
"Hamurana",6,0.00721150274978561,11.5869671374892,"Red",0.002
"Holdens Bay",6,0.0422448059710124,24.2998092858451,"Green",0.789
