"Site","week","mean_pred","sd_pred","warnings","prob"
"Holdens Bay",6,0.0422448059710124,24.2998092858451,"Orange",0.171
"Holdens Bay",6,0.0422448059710124,24.2998092858451,"Red",0.04
"Ngongotaha",6,0.0182447674578541,14.0505286520354,"Green",0.909
"Ngongotaha",6,0.0182447674578541,14.0505286520354,"Orange",0.085
"Ngongotaha",6,0.0182447674578541,14.0505286520354,"Red",0.006
"Ohau Channel",6,0.0213108249713067,33.7216636590509,"Green",0.843
"Ohau Channel",6,0.0213108249713067,33.7216636590509,"Orange",0.117
"Ohau Channel",6,0.0213108249713067,33.7216636590509,"Red",0.04
"Hamurana",7,0.0416618087478694,19.5511321688405,"Green",0.787
"Hamurana",7,0.0416618087478694,19.5511321688405,"Orange",0.189
"Hamurana",7,0.0416618087478694,19.5511321688405,"Red",0.024
"Holdens Bay",7,0.0506423641422852,7.44178834356614,"Green",0.871
"Holdens Bay",7,0.0506423641422852,7.44178834356614,"Orange",0.124
"Holdens Bay",7,0.0506423641422852,7.44178834356614,"Red",0.005
"Ngongotaha",7,0.00949588791516219,125.369581950701,"Green",0.8
"Ngongotaha",7,0.00949588791516219,125.369581950701,"Orange",0.13
"Ngongotaha",7,0.00949588791516219,125.369581950701,"Red",0.07
"Ohau Channel",7,0.0277454194776774,23.2822361760528,"Green",0.838
"Ohau Channel",7,0.0277454194776774,23.2822361760528,"Orange",0.134
"Ohau Channel",7,0.0277454194776774,23.2822361760528,"Red",0.028
"Hamurana",8,0.00794738610340559,57.589854051252,"Green",0.845
"Hamurana",8,0.00794738610340559,57.589854051252,"Orange",0.112
"Hamurana",8,0.00794738610340559,57.589854051252,"Red",0.043
"Holdens Bay",8,0.174999770798929,25.0174008637398,"Green",0.608
"Holdens Bay",8,0.174999770798929,25.0174008637398,"Orange",0.274
"Holdens Bay",8,0.174999770798929,25.0174008637398,"Red",0.118
"Ngongotaha",8,0.0285315782107589,54.6187202766636,"Green",0.749
"Ngongotaha",8,0.0285315782107589,54.6187202766636,"Orange",0.168
"Ngongotaha",8,0.0285315782107589,54.6187202766636,"Red",0.083
"Ohau Channel",8,0.0340730529432188,31.5480212524506,"Green",0.784
"Ohau Channel",8,0.0340730529432188,31.5480212524506,"Orange",0.164
"Ohau Channel",8,0.0340730529432188,31.5480212524506,"Red",0.052
"Hamurana",9,0.0330038209597298,28.9429504743163,"Green",0.774
"Hamurana",9,0.0330038209597298,28.9429504743163,"Orange",0.165
"Hamurana",9,0.0330038209597298,28.9429504743163,"Red",0.061
"Holdens Bay",9,0.0964968589258119,70.8716024625462,"Green",0.682
"Holdens Bay",9,0.0964968589258119,70.8716024625462,"Orange",0.205
"Holdens Bay",9,0.0964968589258119,70.8716024625462,"Red",0.113
"Ngongotaha",9,0.0486900118291845,45.518543893529,"Green",0.72
"Ngongotaha",9,0.0486900118291845,45.518543893529,"Orange",0.197
"Ngongotaha",9,0.0486900118291845,45.518543893529,"Red",0.083
"Ohau Channel",9,0.15006630268151,71.9264337213793,"Green",0.635
"Ohau Channel",9,0.15006630268151,71.9264337213793,"Orange",0.223
"Ohau Channel",9,0.15006630268151,71.9264337213793,"Red",0.142
"Hamurana",10,0.0333698463506252,46.4012281599104,"Green",0.787
"Hamurana",10,0.0333698463506252,46.4012281599104,"Orange",0.148
"Hamurana",10,0.0333698463506252,46.4012281599104,"Red",0.065
"Holdens Bay",10,0.136010869442338,18.7416736824826,"Green",0.664
"Holdens Bay",10,0.136010869442338,18.7416736824826,"Orange",0.267
"Holdens Bay",10,0.136010869442338,18.7416736824826,"Red",0.069
"Ngongotaha",10,0.057850118662076,51.2295096067372,"Green",0.708
"Ngongotaha",10,0.057850118662076,51.2295096067372,"Orange",0.196
"Ngongotaha",10,0.057850118662076,51.2295096067372,"Red",0.096
"Ohau Channel",10,0.186193962631095,49.8845956753206,"Green",0.583
"Ohau Channel",10,0.186193962631095,49.8845956753206,"Orange",0.257
"Ohau Channel",10,0.186193962631095,49.8845956753206,"Red",0.16
"Hamurana",11,0.0958368111824198,40.8266292014264,"Green",0.655
"Hamurana",11,0.0958368111824198,40.8266292014264,"Orange",0.242
"Hamurana",11,0.0958368111824198,40.8266292014264,"Red",0.103
"Holdens Bay",11,0.0312385405511873,74.597893583678,"Green",0.744
"Holdens Bay",11,0.0312385405511873,74.597893583678,"Orange",0.167
"Holdens Bay",11,0.0312385405511873,74.597893583678,"Red",0.089
"Ngongotaha",11,0.0624754254428044,51.4723422067705,"Green",0.707
"Ngongotaha",11,0.0624754254428044,51.4723422067705,"Orange",0.198
"Ngongotaha",11,0.0624754254428044,51.4723422067705,"Red",0.095
"Ohau Channel",11,0.130293148034165,77.5191038527918,"Green",0.635
"Ohau Channel",11,0.130293148034165,77.5191038527918,"Orange",0.215
"Ohau Channel",11,0.130293148034165,77.5191038527918,"Red",0.15
"Hamurana",12,0.0070907370245293,40.129445396606,"Green",0.869
"Hamurana",12,0.0070907370245293,40.129445396606,"Orange",0.114
"Hamurana",12,0.0070907370245293,40.129445396606,"Red",0.017
"Holdens Bay",12,0.0463217837860756,34.4150664792304,"Green",0.751
"Holdens Bay",12,0.0463217837860756,34.4150664792304,"Orange",0.194
"Holdens Bay",12,0.0463217837860756,34.4150664792304,"Red",0.055
"Ngongotaha",12,0.0403776486707971,40.515425061181,"Green",0.756
"Ngongotaha",12,0.0403776486707971,40.515425061181,"Orange",0.195
"Ngongotaha",12,0.0403776486707971,40.515425061181,"Red",0.049
"Ohau Channel",12,0.0130527759512146,62.034805072117,"Green",0.808
"Ohau Channel",12,0.0130527759512146,62.034805072117,"Orange",0.134
"Ohau Channel",12,0.0130527759512146,62.034805072117,"Red",0.058
"Hamurana",13,0.0278982777723999,61.9484106137233,"Green",0.78
"Hamurana",13,0.0278982777723999,61.9484106137233,"Orange",0.142
"Hamurana",13,0.0278982777723999,61.9484106137233,"Red",0.078
"Holdens Bay",13,0.037484798979689,46.9351671878999,"Green",0.745
"Holdens Bay",13,0.037484798979689,46.9351671878999,"Orange",0.175
"Holdens Bay",13,0.037484798979689,46.9351671878999,"Red",0.08
"Ngongotaha",13,0.023220917394389,62.472330266242,"Green",0.788
"Ngongotaha",13,0.023220917394389,62.472330266242,"Orange",0.152
"Ngongotaha",13,0.023220917394389,62.472330266242,"Red",0.06
"Ohau Channel",13,0.0369197390336758,68.6491748506571,"Green",0.727
"Ohau Channel",13,0.0369197390336758,68.6491748506571,"Orange",0.196
"Ohau Channel",13,0.0369197390336758,68.6491748506571,"Red",0.077
"Hamurana",14,0.0537657419672275,35.1416800483396,"Green",0.721
"Hamurana",14,0.0537657419672275,35.1416800483396,"Orange",0.19
"Hamurana",14,0.0537657419672275,35.1416800483396,"Red",0.089
"Holdens Bay",14,0.0293708420682883,39.8805759088593,"Green",0.78
"Holdens Bay",14,0.0293708420682883,39.8805759088593,"Orange",0.158
"Holdens Bay",14,0.0293708420682883,39.8805759088593,"Red",0.062
"Ngongotaha",14,0.044908535669222,32.5088551734428,"Green",0.747
"Ngongotaha",14,0.044908535669222,32.5088551734428,"Orange",0.19
"Ngongotaha",14,0.044908535669222,32.5088551734428,"Red",0.063
"Ohau Channel",14,0.0985072032468299,59.1997116244549,"Green",0.699
"Ohau Channel",14,0.0985072032468299,59.1997116244549,"Orange",0.196
"Ohau Channel",14,0.0985072032468299,59.1997116244549,"Red",0.105
"Hamurana",15,0.0347148722987561,20.4489993185952,"Green",0.801
"Hamurana",15,0.0347148722987561,20.4489993185952,"Orange",0.163
"Hamurana",15,0.0347148722987561,20.4489993185952,"Red",0.036
"Holdens Bay",15,0.0844131635312286,31.2009603466048,"Green",0.702
"Holdens Bay",15,0.0844131635312286,31.2009603466048,"Orange",0.22
"Holdens Bay",15,0.0844131635312286,31.2009603466048,"Red",0.078
"Ngongotaha",15,0.051825329858503,17.5658684766559,"Green",0.792
"Ngongotaha",15,0.051825329858503,17.5658684766559,"Orange",0.182
"Ngongotaha",15,0.051825329858503,17.5658684766559,"Red",0.026
"Ohau Channel",15,0.0325017264373847,16.7433585284338,"Green",0.836
"Ohau Channel",15,0.0325017264373847,16.7433585284338,"Orange",0.143
"Ohau Channel",15,0.0325017264373847,16.7433585284338,"Red",0.021
"Hamurana",16,0.00479588215040233,54.935132053309,"Green",0.88
"Hamurana",16,0.00479588215040233,54.935132053309,"Orange",0.085
"Hamurana",16,0.00479588215040233,54.935132053309,"Red",0.035
"Holdens Bay",16,0.032048966618649,16.1910464525339,"Green",0.839
"Holdens Bay",16,0.032048966618649,16.1910464525339,"Orange",0.142
"Holdens Bay",16,0.032048966618649,16.1910464525339,"Red",0.019
"Ngongotaha",16,0.00374298232173331,28.053445165619,"Green",0.919
"Ngongotaha",16,0.00374298232173331,28.053445165619,"Orange",0.074
"Ngongotaha",16,0.00374298232173331,28.053445165619,"Red",0.007
"Ohau Channel",16,0.0268788107887215,12.8119763446501,"Green",0.882
"Ohau Channel",16,0.0268788107887215,12.8119763446501,"Orange",0.112
"Ohau Channel",16,0.0268788107887215,12.8119763446501,"Red",0.006
"Hamurana",17,0.00615520121707455,22.001679287507,"Green",0.915
"Hamurana",17,0.00615520121707455,22.001679287507,"Orange",0.075
"Hamurana",17,0.00615520121707455,22.001679287507,"Red",0.01
"Holdens Bay",17,0.0176035722248383,10.5810109718388,"Green",0.927
"Holdens Bay",17,0.0176035722248383,10.5810109718388,"Orange",0.069
"Holdens Bay",17,0.0176035722248383,10.5810109718388,"Red",0.004
"Ngongotaha",17,0.00441043591064701,37.6406514627684,"Green",0.929
"Ngongotaha",17,0.00441043591064701,37.6406514627684,"Orange",0.052
"Ngongotaha",17,0.00441043591064701,37.6406514627684,"Red",0.019
"Ohau Channel",17,0.0508014142766498,15.4190879579209,"Green",0.792
"Ohau Channel",17,0.0508014142766498,15.4190879579209,"Orange",0.184
"Ohau Channel",17,0.0508014142766498,15.4190879579209,"Red",0.024
"Hamurana",18,0.00744237021833404,27.2754887673998,"Green",0.896
"Hamurana",18,0.00744237021833404,27.2754887673998,"Orange",0.084
"Hamurana",18,0.00744237021833404,27.2754887673998,"Red",0.02
"Holdens Bay",18,0.0172141020846664,7.046975439978,"Green",0.958
"Holdens Bay",18,0.0172141020846664,7.046975439978,"Orange",0.042
"Ngongotaha",18,0.0281473022265295,43.158688428825,"Green",0.782
"Ngongotaha",18,0.0281473022265295,43.158688428825,"Orange",0.158
"Ngongotaha",18,0.0281473022265295,43.158688428825,"Red",0.06
"Ohau Channel",18,0.0331658322987691,16.6933976178423,"Green",0.823
"Ohau Channel",18,0.0331658322987691,16.6933976178423,"Orange",0.153
"Ohau Channel",18,0.0331658322987691,16.6933976178423,"Red",0.024
"Hamurana",19,0.00185100499791272,26.5099674636572,"Green",0.966
"Hamurana",19,0.00185100499791272,26.5099674636572,"Orange",0.029
"Hamurana",19,0.00185100499791272,26.5099674636572,"Red",0.005
"Holdens Bay",19,0.0481288039184179,5.55338204980832,"Green",0.906
"Holdens Bay",19,0.0481288039184179,5.55338204980832,"Orange",0.092
"Holdens Bay",19,0.0481288039184179,5.55338204980832,"Red",0.002
"Ngongotaha",19,0.014720263914271,15.6922389378969,"Green",0.897
"Ngongotaha",19,0.014720263914271,15.6922389378969,"Orange",0.092
"Ngongotaha",19,0.014720263914271,15.6922389378969,"Red",0.011
"Ohau Channel",19,0.0736783129479446,22.1771836860568,"Green",0.738
"Ohau Channel",19,0.0736783129479446,22.1771836860568,"Orange",0.205
"Ohau Channel",19,0.0736783129479446,22.1771836860568,"Red",0.057
"Hamurana",20,0.0107467166691672,3.91188877048441,"Green",0.997
"Hamurana",20,0.0107467166691672,3.91188877048441,"Orange",0.003
"Holdens Bay",20,0.00490260546821636,27.6065958424074,"Green",0.907
"Holdens Bay",20,0.00490260546821636,27.6065958424074,"Orange",0.076
"Holdens Bay",20,0.00490260546821636,27.6065958424074,"Red",0.017
"Ngongotaha",20,0.0137431401472652,6.77101093610737,"Green",0.971
"Ngongotaha",20,0.0137431401472652,6.77101093610737,"Orange",0.029
"Ohau Channel",20,0.0199875996721115,30.6424129552805,"Green",0.822
"Ohau Channel",20,0.0199875996721115,30.6424129552805,"Orange",0.141
"Ohau Channel",20,0.0199875996721115,30.6424129552805,"Red",0.037
"Hamurana",21,0.00395529090591724,3.37279918822079,"Green",1
"Holdens Bay",21,0.00468886250133485,6.92838457200429,"Green",0.993
"Holdens Bay",21,0.00468886250133485,6.92838457200429,"Orange",0.007
"Ngongotaha",21,0.0204186625776572,22.2640944448041,"Green",0.844
"Ngongotaha",21,0.0204186625776572,22.2640944448041,"Orange",0.129
"Ngongotaha",21,0.0204186625776572,22.2640944448041,"Red",0.027
"Ohau Channel",21,0.0352610791043568,16.1335382143687,"Green",0.832
"Ohau Channel",21,0.0352610791043568,16.1335382143687,"Orange",0.147
"Ohau Channel",21,0.0352610791043568,16.1335382143687,"Red",0.021
"Holdens Bay",22,0.00526112705471969,5.26332458584897,"Green",0.999
"Holdens Bay",22,0.00526112705471969,5.26332458584897,"Orange",0.001
"Ohau Channel",22,0.012458671660985,15.5863214288432,"Green",0.919
"Ohau Channel",22,0.012458671660985,15.5863214288432,"Orange",0.074
"Ohau Channel",22,0.012458671660985,15.5863214288432,"Red",0.007
"Hamurana",46,0.0182588698424205,11.1905467938877,"Green",0.914
"Hamurana",46,0.0182588698424205,11.1905467938877,"Orange",0.081
"Hamurana",46,0.0182588698424205,11.1905467938877,"Red",0.005
"Holdens Bay",46,0.0594353544253026,7.33706764392298,"Green",0.841
"Holdens Bay",46,0.0594353544253026,7.33706764392298,"Orange",0.152
"Holdens Bay",46,0.0594353544253026,7.33706764392298,"Red",0.007
"Ngongotaha",46,0.00249896741968543,34.565415539185,"Green",0.933
"Ngongotaha",46,0.00249896741968543,34.565415539185,"Orange",0.059
"Ngongotaha",46,0.00249896741968543,34.565415539185,"Red",0.008
"Ohau Channel",46,0.0165541148698888,81.4218954169609,"Green",0.769
"Ohau Channel",46,0.0165541148698888,81.4218954169609,"Orange",0.137
"Ohau Channel",46,0.0165541148698888,81.4218954169609,"Red",0.094
"Hamurana",47,0.0039044745985014,22.8225162321825,"Green",0.94
"Hamurana",47,0.0039044745985014,22.8225162321825,"Orange",0.057
"Hamurana",47,0.0039044745985014,22.8225162321825,"Red",0.003
"Holdens Bay",47,0.0255917154130955,10.5134190890281,"Green",0.883
"Holdens Bay",47,0.0255917154130955,10.5134190890281,"Orange",0.107
"Holdens Bay",47,0.0255917154130955,10.5134190890281,"Red",0.01
"Ngongotaha",47,0.0784455871215766,11.159252001588,"Green",0.77
"Ngongotaha",47,0.0784455871215766,11.159252001588,"Orange",0.211
"Ngongotaha",47,0.0784455871215766,11.159252001588,"Red",0.019
"Ohau Channel",47,0.268402227337005,4.26916492231129,"Green",0.675
"Ohau Channel",47,0.268402227337005,4.26916492231129,"Orange",0.316
"Ohau Channel",47,0.268402227337005,4.26916492231129,"Red",0.009
"Hamurana",48,0.009104682175987,11.2582734607064,"Green",0.949
"Hamurana",48,0.009104682175987,11.2582734607064,"Orange",0.048
"Hamurana",48,0.009104682175987,11.2582734607064,"Red",0.003
"Holdens Bay",48,0.104904377753604,14.5285029932524,"Green",0.722
"Holdens Bay",48,0.104904377753604,14.5285029932524,"Orange",0.233
"Holdens Bay",48,0.104904377753604,14.5285029932524,"Red",0.045
"Ngongotaha",48,0.0156244200798744,15.6869769010211,"Green",0.886
"Ngongotaha",48,0.0156244200798744,15.6869769010211,"Orange",0.105
"Ngongotaha",48,0.0156244200798744,15.6869769010211,"Red",0.009
"Ohau Channel",48,0.0856003733233331,13.5548371047268,"Green",0.763
"Ohau Channel",48,0.0856003733233331,13.5548371047268,"Orange",0.203
"Ohau Channel",48,0.0856003733233331,13.5548371047268,"Red",0.034
"Hamurana",49,0.00374381633958922,28.2103365872377,"Green",0.925
"Hamurana",49,0.00374381633958922,28.2103365872377,"Orange",0.067
"Hamurana",49,0.00374381633958922,28.2103365872377,"Red",0.008
"Holdens Bay",49,0.0122270676377278,29.6318954473421,"Green",0.855
"Holdens Bay",49,0.0122270676377278,29.6318954473421,"Orange",0.121
"Holdens Bay",49,0.0122270676377278,29.6318954473421,"Red",0.024
"Ngongotaha",49,0.0112055348587517,25.8579617676723,"Green",0.882
"Ngongotaha",49,0.0112055348587517,25.8579617676723,"Orange",0.101
"Ngongotaha",49,0.0112055348587517,25.8579617676723,"Red",0.017
"Ohau Channel",49,0.0259651957434715,16.0540212993319,"Green",0.84
"Ohau Channel",49,0.0259651957434715,16.0540212993319,"Orange",0.132
"Ohau Channel",49,0.0259651957434715,16.0540212993319,"Red",0.028
"Hamurana",50,0.00396569560025019,23.2268125232649,"Green",0.939
"Hamurana",50,0.00396569560025019,23.2268125232649,"Orange",0.055
"Hamurana",50,0.00396569560025019,23.2268125232649,"Red",0.006
"Holdens Bay",50,0.0315136439441294,16.8266400868072,"Green",0.828
"Holdens Bay",50,0.0315136439441294,16.8266400868072,"Orange",0.142
"Holdens Bay",50,0.0315136439441294,16.8266400868072,"Red",0.03
"Ngongotaha",50,0.0238172095712002,9.30433557305839,"Green",0.885
"Ngongotaha",50,0.0238172095712002,9.30433557305839,"Orange",0.107
"Ngongotaha",50,0.0238172095712002,9.30433557305839,"Red",0.008
"Ohau Channel",50,0.0384903762585912,17.6768785947012,"Green",0.808
"Ohau Channel",50,0.0384903762585912,17.6768785947012,"Orange",0.165
"Ohau Channel",50,0.0384903762585912,17.6768785947012,"Red",0.027
"Hamurana",51,0.00951937146487271,24.1178155486534,"Green",0.909
"Hamurana",51,0.00951937146487271,24.1178155486534,"Orange",0.081
"Hamurana",51,0.00951937146487271,24.1178155486534,"Red",0.01
"Holdens Bay",51,0.133568535152241,11.2121526320088,"Green",0.709
"Holdens Bay",51,0.133568535152241,11.2121526320088,"Orange",0.256
"Holdens Bay",51,0.133568535152241,11.2121526320088,"Red",0.035
"Ngongotaha",51,0.0426598044480314,7.83825468934938,"Green",0.873
"Ngongotaha",51,0.0426598044480314,7.83825468934938,"Orange",0.12
"Ngongotaha",51,0.0426598044480314,7.83825468934938,"Red",0.007
"Ohau Channel",51,0.0426319392808658,19.3945729635151,"Green",0.817
"Ohau Channel",51,0.0426319392808658,19.3945729635151,"Orange",0.164
"Ohau Channel",51,0.0426319392808658,19.3945729635151,"Red",0.019
"Holdens Bay",52,1.40734798354357,4.8856925792196,"Green",0.263
"Holdens Bay",52,1.40734798354357,4.8856925792196,"Orange",0.629
"Holdens Bay",52,1.40734798354357,4.8856925792196,"Red",0.108
"Ohau Channel",52,0.155931557607487,33.7035049778123,"Green",0.638
"Ohau Channel",52,0.155931557607487,33.7035049778123,"Orange",0.234
"Ohau Channel",52,0.155931557607487,33.7035049778123,"Red",0.128
